ABREV1,ABREV2,ABREV3,IDMENUITEM
EMPRESA,VisioGener,,1
PRODUCTOS,GestorExpe,,2
SERVICIOS,Desenvolup,Des_Mobil,13
PARTNERS,Partners,,6
CLIENTES,AdminPubli,,7
CLIENTES,PyME,,8
PRODUCTOS,ESB,,9
SERVICIOS,Reingenier,,10
SOLUCIONES,OpenSource,,11
SERVICIOS,Desenvolup,Des_Negocio,12
SERVICIOS,Cloud,Des_PaaS,17
SERVICIOS,Desenvolup,Des_Portales,15
SERVICIOS,Cloud,Des_SaaS,16
SERVICIOS,Cloud,Des_IaaS,18
SERVICIOS,Consultori,Cons_Middleware,19
SERVICIOS,Consultori,Cons_Virtualizacion,20
SERVICIOS,Consultori,Cons_SOA,21
SERVICIOS,Consultori,Cons_BPM,22
SERVICIOS,Consultori,Cons_ESB,23
